客厅空调当前状态和温度 | 运行中,28°C
主卧空调模式与设定温度 | 睡眠,27°C
空气净化器PM2.5和滤芯剩余 | 15,65%
回家模式触发条件和动作有哪些 | 门锁指纹开锁,开启客厅主灯,开启客厅空调设定26度,关闭窗帘,天猫精灵播报欢迎语
睡眠模式几点触发及其动作 | 22:30,关闭所有灯,空调_主卧设定睡眠27度,关闭客厅窗帘,启动安防
起床模式会做什么 | 开启客厅窗帘50%,智能灯_主卧亮起暖光,天猫精灵播报天气
离家模式会启动什么 | 关闭所有灯,关闭空调,开启窗帘,布防安防系统
儿童房智能摄像头的状态 | 开启,1080p
智能门锁最近开锁记录 | 刘洋指纹_20250625_1823
主卧当前湿度及目标湿度 | 42%,55%
冰箱食材库存有什么 | 鸡蛋剩余6个,牛奶剩余1盒,青菜剩余少量
自动生成的购物清单 | 鸡蛋,牛奶,青菜
今天和明天天气如何 | 晴转多云 26-33°C,雷阵雨 24-30°C
今日用电量和同环比 | 8.5kWh,同比昨天+1.2
本月用电预算及剩余 | 200kWh,195kWh
安防系统当前模式和报警记录 | 在家模式,无
智能音箱最近在播放什么 | 小羽爱听的故事,第36集
旺财的喂食时间 | 8:00,18:00
女儿小羽的午睡和晚上睡觉时间 | 13:00-15:00,21:00
家庭成员有哪些 | 刘洋,陈雪,刘小羽,宠物狗旺财
刘洋偏好的客厅色温 | 4000K
陈雪偏好的卧室色温 | 2700K
滤芯需更换通知的相关设备 | 空气净化器
门锁是否支持临时密码及最近创建 | 支持,保洁阿姨_有效至20250626
智能窗帘的定时任务 | 工作日上午8:00全开,工作日下午18:30全关
客厅有哪些智能设备 | 智能灯_主灯,智能窗帘,空调_客厅,空气净化器,智能音箱
哪些区域有安防传感器 | 大门门窗传感器,走廊人体传感器
智能灯主灯的色温范围 | 2700K-6500K
烟雾报警器电池电量 | 85%
燃气泄漏探测器状态 | 正常
水浸传感器状态 | 正常
空调客厅的设定温度和模式 | 26°C,制冷
加湿器目标湿度 | 55%
智能冰箱冷藏冷冻温度 | 4°C,-18°C
门锁电量和状态 | 70%,锁定
客厅窗帘当前状态 | 开启100%
智能音箱音量 | 40%
回家模式的欢迎语内容 | 欢迎回家,室内温度28度,已为您开启空调
能源消耗是否超出预算 | 本月用电量195kWh
扫地机器人当前状态 | 待配网
刘洋最近几次语音指令 | 打开空调,我回家了,晚安
陈雪最近询问的内容 | 今天湿度多少
智能灯儿童房的色温 | 3000K
摄像头夜视功能是否开启 | 开启
Wi-Fi网络名称及在线设备数 | Wi-Fi_5G,12台
空气质量PM2.5数值 | 15
滤芯预计还能用多久 | 30天
