林小婉的英语水平和目标是什么 | CEFR B1,雅思6.5
当前课程的进度 | 雅思口语强化,已完成5/12课时
第5课时的主题是什么 | Part2人物描述
Part2人物描述常用结构 | 开头,外貌,性格,故事,结尾
过去时态常见错误例子 | I have went,应为I have gone
小婉词汇量和目标词汇量 | 约4500,8000
最近一次口语模考分数和薄弱点 | 5.5分,流利度,发音
发音练习每日任务和材料 | 跟读10分钟,BBC Learning English
写作小作文最近一篇类型和得分 | 动态图柱状图,6.0
小作文评语及建议 | 趋势描述不全,多练转折句型
复习算法是什么及间隔 | 间隔重复,1天3天7天
今日应复习生词数和难词 | 25个,accommodate
accommodate记忆技巧 | 联想ac+commodate
上周听力得分和丢分点 | 6.0,地图题
地图题技巧 | 先标方位,用opposite,next to
口语素材库已备话题数及例子 | 8个,教育科技环境健康等
教育话题的短语 | broaden horizons
本周口语模拟目标及完成情况 | 3次,已完成1次
录音抵触原因和老师怎么鼓励 | 觉得声音不好听,进步明显5.0到5.5
5W1H指什么 | Who,What,When,Where,Why,How
英语角时间和本周话题 | 周五19:00,社交媒体利弊
小婉准备了哪三点观点及对应英文 | 隐私privacy,焦虑anxiety,就业机会job opportunities
《经济学人》阅读生词解释 | tariff关税,subsidy补贴
affect和effect的区别 | affect动词,effect名词
例句The weather affects my mood.翻译 | 天气影响我的情绪。
连续打卡奖励 | 解锁进阶语法课
虚拟语气与过去事实相反结构 | If I had done, I would have done
听力错题本复习情况 | 错3题,已复习2题
教师人格设定 | 耐心且幽默
小测验正确率和未掌握点 | 80%,since和for区别
since和for的用法 | since接时间点,for接时间段
林小婉常用设备和App | iPad,AI英语
报名雅思日期和考点 | 8月30日,杭州电子科技大学
请假原因和调整方案 | 期末考试,7月1-5日减半任务
学习提醒时间和提示音 | 21:00,柔和水滴声
看美剧学俚语的剧集和片段 | 《老友记》,第一季第2集
俚语hit the books的意思 | 用功读书
学习结束提醒内容 | 今日学习时长,表现不错
小婉的睡眠时间和学习时段 | 23:30,21:00-23:00
陈敏的英语水平 | C1
科技话题的短语 | artificial intelligence
小婉对教师风格的偏好 | 耐心,鼓励型
地图题丢分原因 | 地图题
小测验频率 | 每15分钟一次
since/for专项练习正确题数 | 8题
语音打分上周平均 | 6.1
剩余备考时间 | 约8周
每日学习时长目标 | 2小时
最近的成就 | 连续打卡30天
