张伟的职位和公司是什么 | 项目经理,云帆科技
深度工作的具体时间段 | 9:00-11:30
常用来开周会的会议室及设备 | 南山会议室A,投影白板
今日待办中10点的会议需要准备什么 | 上周进度PPT
客户演示的客户和对接人是谁 | 华业集团,王总
产品Demo的版本 | v2.8
什么时间提醒给陈总发周报 | 16:30
周六上午的安排是什么 | 9:30-11:30羽毛球
羽毛球场馆及预定情况 | 深圳湾体育中心,已预定场地B3
私教课教练和时间 | 李教练,周六下午13:00
周日下午计划 | 带孩子去科技馆
孩子的名字和年龄 | 乐乐,6岁
下周一的面试岗位和候选人 | 高级前端,赵凯
赵凯的简历要点 | 5年经验,React
出差计划的时间和目的 | 7月10-12日北京,总公司季度汇报
出差航班号和酒店 | CA1314,北京望京凯悦
纪念日提醒是什么 | 结婚纪念日2018-09-20,提前一周
父母通话提醒日期 | 7月8日
阅读清单及其进度 | 《人月神话》,60%
早起连续打卡天数 | 12天
视频会员到期日 | 7月20日
想看的电影及上映日期 | 《星际探险》,7月18日
信用卡还款日和本期账单 | 每月5号,5800元
年度体检医院和预约时间提醒 | 港大深圳医院,9月1日
张伟的家庭地址和工作地址 | 南山区科技园南路88号,南山区高新园TCL大厦
JIRA-1024任务的内容和负责人 | 修复登录超时bug,阿杰
鹰眼系统进度和下周目标 | 85%,进入UAT
团建聚餐预定情况 | 海底捞包间,7月11日19:00
张伟的睡眠时长和目标 | 6.5小时,目标7小时
用什么App进行午休冥想 | 潮汐
免打扰模式什么时候自动开启 | 工作日上午
VPN密码更新提示日期 | 7月15日
产品发布下个版本和日期 | v3.0,8月1日
张伟宠物的名字 | 豆豆
今日和明日天气情况 | 多云28-33°C,雷阵雨25-29°C
张伟的通勤方式和时长 | 地铁35分钟
直属团队成员有哪些 | 小周,阿杰,美琪,大力,雅静
周报需要包含的内容 | 进度,风险,下周计划
Sprint评审时间 | 周一10:00-12:00
提醒设置中会议提前多久提醒 | 15分钟
本周运动已进行几次 | 2次
饮水提醒今日已喝几杯 | 5杯
需求评审的结论和影响 | 优先级调整,延迟报表模块
张伟对助理的反馈调整是什么 | 提醒不要太频繁,合并
助理的回复风格设定 | 专业简洁
张伟常用什么通讯工具 | Slack,飞书
私教课程频率如何 | 周六
上次会议的内容 | 需求评审
生日和下一个生日提醒 | 1989-03-12,2026-03-12
出差携带物品清单 | 正装,演示笔记本
信用卡还款提醒时间 | 7月5日10:00
科技馆门票状态 | 已在线购买
结婚纪念日 | 2018-09-20
